Planet Name,Host Name,Number of Stars,Number of Moons,Discovery Method,Discovery Year,Discovery Facility,Orbital Period,Orbital Period (Upper),Orbital Period (Lower),Orbital Semi- Major Axis,Earth Radius,Earth Radius (Upper),Earth Radius (Lower),Jupiter Radius,Earth Mass,Earth Mass (Upper),Earth Mass (Lower),Spectral Type,Stellar Radius,Stellar Mass,Stellar Mass (Upper),Stellar Mass (Lower),Stellar Age,Relative Distance,Relative Distance (Upper),Relative Distance (Lower),Number of Emission Spectroscopy Measurements
11 Com b,11 Com,2,0,Radial Velocity,2007,Xinglong Station,326.03,0.32,-0.32,1.29,12.1,,,1.08,6165.6,476.7,-476.7,G8 III,19,2.7,0.3,-0.3,,93.1846,1.9238,-1.9238,0
11 UMi b,11 UMi,1,0,Radial Velocity,2009,Thueringer Landessternwarte Tautenburg,516.21997,3.2,-3.2,1.53,12.3,,,1.09,4684.8142,794.575,-794.575,K4 III,29.79,2.78,0.69,-0.69,1.56,125.321,1.9765,-1.9765,0
14 And b,14 And,1,0,Radial Velocity,2008,Okayama Astrophysical Observatory,185.84,0.23,-0.23,0.83,12.9,,,1.15,1525.5,,,K0 III,11,2.2,0.1,-0.2,4.5,75.4392,0.714,-0.714,0
14 Her b,14 Her,1,0,Radial Velocity,2002,W. M. Keck Observatory,1773.40002,2.5,-2.5,2.93,12.9,,,1.15,1481.0878,47.6745,-47.6745,K0 V,0.93,0.9,0.04,-0.04,3.9,17.9323,0.0073,-0.0073,0
16 Cyg B b,16 Cyg B,3,0,Radial Velocity,1996,Multiple Observatories,798.5,1,-1,1.66,13.5,,,1.2,565.7374,25.4264,-25.4264,G3 V,1.13,1.08,0.04,-0.04,7.4,21.1397,0.011,-0.0111,0
18 Del b,18 Del,2,0,Radial Velocity,2008,Okayama Astrophysical Observatory,993.3,3.2,-3.2,2.6,12.5,,,1.11,3273.5,,,G6 III,8.5,2.3,,,1.1,76.222,0.6217,-0.6217,0
1RXS J160929.1-210524 b,1RXS J160929.1-210524,1,0,Imaging,2008,Gemini Observatory,,,,330,18.647,,,1.664,3000,300,-300,K7 V,1.31,0.85,0.2,-0.1,0.005,139.135,1.332,-1.307,0
24 Boo b,24 Boo,1,0,Radial Velocity,2018,Okayama Astrophysical Observatory,30.3506,0.0078,-0.0077,0.19,13.9,,,1.24,289.2253,41.3179,-31.783,G3 IV,10.64,0.99,0.19,-0.13,6.92,95.9863,0.63685,-0.63685,0
24 Sex b,24 Sex,1,0,Radial Velocity,2010,Lick Observatory,452.8,2.1,-4.5,1.333,13.4,,,1.19,632.46,82.63,-120.77,K0 IV,4.9,1.54,0.08,-0.08,2.7,72.0691,0.6854,-0.6728,0
24 Sex c,24 Sex,1,0,Radial Velocity,2010,Lick Observatory,883,32.4,-13.8,2.08,13.9,,,1.24,273.32,111.24,-69.92,K0 IV,4.9,1.54,0.08,-0.08,2.7,72.0691,0.6854,-0.6728,0
2MASS J01033563-5515561 AB b,2MASS J01033563-5515561 A,2,0,Imaging,2013,Paranal Observatory,,,,84,12.3,,,1.1,4131.79,317.83,-317.83,M5.5/M6,,0.19,0.02,-0.02,0.03,47.2,3.1,-3.1,0
2MASS J01225093-2439505 b,2MASS J01225093-2439505,1,0,Imaging,2013,W. M. Keck Observatory,,,,52,11.209,,,1,7786.5,794.5,-794.5,M3.5 V,0.37,0.4,0.05,-0.05,0.12,33.8281,0.0864,-0.086,0
2MASS J02192210-3925225 b,2MASS J02192210-3925225,1,0,Imaging,2015,Cerro Tololo Inter-American Observatory,,,,156,16.141,0.336,-0.336,1.44,4417.837,349.613,-349.613,M6,0.28,0.11,0.01,-0.01,0.035,40.0896412,0.1940496,-0.1940496,0
2MASS J04414489+2301513 b,2MASS J04414489+2301513,1,0,Imaging,2010,Hubble Space Telescope,,,,15,12.6,,,1.13,2383.6,794.5,-794.5,M8.5,0.23,0.02,,,0.001,120.423987,5.4783417,-5.4783417,0
2MASS J12073346-3932539 b,2MASS J12073346-3932539,1,0,Imaging,2004,Paranal Observatory,,,,55,12.9,,,1.15,1589.15,635.66,-635.66,M8,0.22,0.02,,,0.008,64.308,0.6569,-0.644,0
2MASS J19383260+4603591 b,2MASS J19383260+4603591,2,0,Eclipse Timing Variations,2015,Kepler,416,2,-2,0.92,13.4,,,1.2,603.877,31.783,-31.783,,0.34,0.48,0.03,-0.03,,396.332,6.3885,-6.3885,0
2MASS J21402931+1625183 A b,2MASS J21402931+1625183 A,1,0,Imaging,2009,W. M. Keck Observatory,7336.5,1934.5,-584,,10.31,4.37,-4.04,0.92,6657.48,26629.91,-6657.48,M8.5,0.12,0.08,0.06,-0.06,,33.1156898,0.4759328,-0.4759328,0
2MASS J22362452+4751425 b,2MASS J22362452+4751425,1,0,Imaging,2016,W. M. Keck Observatory,,,,230,12.3,,,1.1,3972.875,476.745,-476.745,K7 V,0.64,0.6,0.05,-0.05,0.12,69.5737,0.1592,-0.1585,0
30 Ari B b,30 Ari B,4,0,Radial Velocity,2009,Thueringer Landessternwarte Tautenburg,335.10001,2.5,-2.5,0.99,12.3,,,1.1,4392.4106,572.094,-572.094,F6 V,1.41,1.93,0.27,-0.27,0.91,44.657,0.1039,-0.1034,0
4 UMa b,4 UMa,1,0,Radial Velocity,2006,Thueringer Landessternwarte Tautenburg,269.3,1.96,-1.96,0.87,12.7,,,1.13,2256.5,508.5,-508.5,K1 III,18.11,1.23,0.15,-0.15,4.604,73.4603,1.18605,-1.18605,0
42 Dra b,42 Dra,2,0,Radial Velocity,2008,Thueringer Landessternwarte Tautenburg,479.1,6.2,-6.2,1.19,13,,,1.16,1233.13,270.14,-270.14,K1.5 III,22.03,0.98,0.05,-0.05,9.49,90.6545,1.3227,-1.3227,0
47 UMa b,47 UMa,1,0,Radial Velocity,1996,Lick Observatory,1078,2,-2,2.1,13.2,,,1.18,804.08,22.25,-19.07,G0 V,1.21,1.06,0.13,-0.14,6.48,13.7967,0.0289,-0.0289,0
47 UMa c,47 UMa,1,0,Radial Velocity,2001,Lick Observatory,2391,100,-87,3.6,14.2,,,1.27,171.621,20.976,-23.201,G1 V,1.21,1.06,0.13,-0.14,6.48,13.7967,0.0289,-0.0289,0
47 UMa d,47 UMa,1,0,Radial Velocity,2009,Lick Observatory,14002,4018,-5095,11.6,13.5,,,1.2,521.22,92.17,-152.55,G0V,1.21,1.06,0.13,-0.14,6.48,13.7967,0.0289,-0.0289,0
51 Eri b,51 Eri,3,0,Imaging,2015,Gemini Observatory,11688,6209.25,-3287.25,12,13.4,,,1.19,635.66,,,F0 IV,1.49,1.65,0.36,-0.18,0.02,29.7575,0.1213,-0.1203,0
51 Peg b,51 Peg,1,0,Radial Velocity,1995,Haute-Provence Observatory,4.230785,0.000036,-0.000036,0.0527,14.3,,,1.27,146.2018,19.0698,-3.1783,G5V,1.18,1.03,0.17,-0.09,10,15.4614,0.0297,-0.0297,0
55 Cnc b,55 Cnc,2,0,Radial Velocity,1996,Lick Observatory,14.6516,0.0001,-0.0001,0.1134,13.9,,,1.24,263.9785,1.0488,-1.0488,K0 IV-V,0.94,0.91,0.01,-0.01,5.5,12.5855,0.0124,-0.0123,0
55 Cnc c,55 Cnc,2,0,Radial Velocity,2004,McDonald Observatory,44.3989,0.0042,-0.0043,0.2373,8.51,,,0.76,54.4738,1.748,-1.748,G8V,0.94,0.91,0.01,-0.01,10.2,12.5855,0.0124,-0.0123,0
55 Cnc d,55 Cnc,2,0,Radial Velocity,2002,Lick Observatory,5574.2,93.8,-88.6,5.957,13,,,1.16,1232.493,21.612,-21.612,G8 V,0.94,0.91,0.01,-0.01,5.5,12.5855,0.0124,-0.0123,0
